PK,NOMBRE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,PLANTA,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL
52114,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',Plazas: 107 públicas y 261 para residentes.  Plazas motos: 6.  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor con salida a la Plaza de Vazquez de Mella 1 aseo accesible Plaza para minusválidos residentes: 7    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)  Teléfonos: Residentes - 91 522 50 29          Rotacional -  91 532 19 10,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e499946be351c010VgnVCM2000000c205a0aRCRD,PLAZA PEDRO ZEROLO,1,,,MADRID,MADRID,28004,4,JUSTICIA,13,CENTRO,440675,4474698,40.4208058791525,-3.69930167470253,,aparcamientos@emtmadrid.es
33440,Aparcamiento mixto. Plaza de Oriente,Plazas: 242 públicas rotacionales (30 plazas para autobuses) y 511 para residentes Abierto 24 horas Admite Tarjeta BonoRed Este PAR está adherido a la zona de APR  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7db12c798651c010VgnVCM2000000c205a0aRCRD,PLAZA ORIENTE,9,,,MADRID,MADRID,28013,1,PALACIO,1,CENTRO,439597,4474441,40.41840695632423,-3.7119903936183274,,
11544439,Aparcamiento mixto. Plaza de Santo Domingo,"Plazas Totales: 320 plazas,  Plazas motos: 16.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=58ec252aa267d710VgnVCM1000001d4a900aRCRD,PLAZA SANTO DOMINGO,,,,MADRID,MADRID,28013,1,PALACIO,1,CENTRO,439915,4474630,40.42013315230386,-3.7082597874437004,,
13466,Aparcamiento mixto. Plaza Mayor,Plazas: 694  279 Residenciales 415 Rotacionales  Abierto 24 horas  Titularidad : Ayuntamiento de Madrid    Gálibo: 1'85 m,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b1981eb5f51c010VgnVCM2000000c205a0aRCRD,PLAZA MAYOR,1,-1,,MADRID,MADRID,28012,6,SOL,1,CENTRO,440027,4474155,40.4158677606471,-3.70689561392158,,
36271,Aparcamiento mixto. Presidente Carmona,Plazas: 127 públicas y 379 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Teléfono: 91 556 62 26,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a412c798651c010VgnVCM2000000c205a0aRCRD,AVENIDA GENERAL PERON,21,,,MADRID,MADRID,28020,2,CUATRO CAMINOS,6,TETUAN,441010,4478216,40.45251614668263,-3.6956837947248724,,
13476,Aparcamiento mixto. Recoletos (cerrado),Plazas: 102 públicas y 289 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida al Paseo de Recoletos 1 aseo accesible Plaza para minusválidos residentes: 10   Abierto 24 horas   Titularidad : Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=283f15cbed51c010VgnVCM2000000c205a0aRCRD,PASEO RECOLETOS,4,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441309,4474759,40.421397488495096,-3.691841269615146,,aparcamientos@emtmadrid.es
24193,Aparcamiento mixto. República Dominicana,Plazas: 209 públicas y 892 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aabe6545f951c010VgnVCM2000000c205a0aRCRD,PLAZA REPUBLICA DOMINICANA,6,,,MADRID,MADRID,28016,5,NUEVA ESPAÑA,5,CHAMARTIN,442641,4478908,40.4588693818589,-3.67651579058803,,
81828,Aparcamiento mixto. Reyes Magos,Plazas: 356 públicas y 345 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0dfec2c6e051c010VgnVCM2000000c205a0aRCRD,PLAZA REYES MAGOS,,,,MADRID,MADRID,28007,6,NIÑO JESUS,3,RETIRO,442614,4473350,40.408797321706984,-3.6763215894089827,,
167692,Aparcamiento mixto. San Cayetano,Plazas: 222 públicas y 261 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a284ff632081c010VgnVCM1000000b205a0aRCRD,PLAZA SAN CAYETANO,1,,,MADRID,MADRID,28028,4,GUINDALERA,4,SALAMANCA,443161,4476191,40.4344244682971,-3.67012877493573,,
13515,Aparcamiento mixto. San Germán II (antes General Yagüe),Plazas: 419 públicas y 713 residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee9e15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE ORENSE,48,,,MADRID,MADRID,28020,3,CASTILLEJOS,6,TETUAN,441212,4478646,40.4564090502234,-3.69333344796644,,
19053,Aparcamiento mixto. Sánchez Bustillo,Plazas: 131 públicas y 408 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27912c798651c010VgnVCM2000000c205a0aRCRD,CALLE SANCHEZ BUSTILLO,,,,MADRID,MADRID,28012,2,EMBAJADORES,1,CENTRO,441130,4473369,40.40885884341386,-3.693821482712085,,
7416748,Aparcamiento mixto. Serrano I,Plazas: 307 públicas y 833 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd61f94ae1d15410VgnVCM2000000c205a0aRCRD,CALLE SERRANO,84,,,MADRID,MADRID,28006,6,CASTELLANA,4,SALAMANCA,441804,4476037,40.4329452991722,-3.68611338542774,,
7417028,Aparcamiento mixto. Serrano II,Plazas: 379 públicas y 804 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc096f1c35d15410VgnVCM2000000c205a0aRCRD,CALLE SERRANO,44,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441599,4475750,40.4303442290635,-3.68850808858792,,
7417052,Aparcamiento mixto. Serrano III,Plazas: 261 públicas y 725 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a1c6f1c35d15410VgnVCM2000000c205a0aRCRD,CALLE SERRANO,2,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441497,4475094,40.4244268291578,-3.68965177313431,,
13460,Aparcamiento mixto. Sevilla,Plazas: 649 públicas rotacionales y 74 para residentes Abierto 24 horas Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9dd67339ae51c010VgnVCM2000000c205a0aRCRD,CALLE ALCALA,17,,,MADRID,MADRID,28014,6,SOL,1,CENTRO,440740,4474574,40.41780383567921,-3.6998082261071747,915219281,
13458,Aparcamiento mixto. Velázquez - Ayala,Plazas: 443 públicas y 230 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8bee15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE VELAZQUEZ,47,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441971,4475406,40.4272702030791,-3.68408892366904,,
13457,Aparcamiento mixto. Velázquez - Jorge Juan,Plazas: 548 públicas y 395 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d11f15cbed51c010VgnVCM2000000c205a0aRCRD,CALLE VELAZQUEZ,1,,,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441946,4475076,40.4242991698907,-3.68435762446743,,
183607,Aparcamiento mixto. Verdaguer y García,Plazas: 83 públicas y 91 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor en la salida a la Calle Verdaguer y garcía 1 aseo accesible en la planta -1 Plaza para minusválidos residentes: 4    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6245bdc85c01c010VgnVCM2000000c205a0aRCRD,CALLE VERDAGUER Y GARCIA,2,,,MADRID,MADRID,28027,5,SAN PASCUAL,15,CIUDAD LINEAL,444305,4476770,40.4397163141475,-3.6566922711780356,913531050,
8087180,Aparcamiento para residentes del Centro Polivalente Barceló,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9826774ac3cdd410VgnVCM2000000c205a0aRCRD,CALLE BARCELO,6,,,MADRID,MADRID,28004,4,JUSTICIA,1,CENTRO,440689,4475392,40.4270579430205,-3.69920590014237,,
4829668,Aparcamiento para residentes.  Ginzo de Limia,Plazas: 97 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c77780e5c0a8110VgnVCM1000000b205a0aRCRD,CALLE VALENCIA DE DON JUAN,2,,,MADRID,MADRID,28034,5,LA PAZ,8,FUENCARRAL-EL PARDO,440071,4481799,40.484726228522256,-3.707095467956364,,
24139,Aparcamiento para residentes.  Valderromán,Plazas: 424 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85026545f951c010VgnVCM2000000c205a0aRCRD,CALLE VALDERROMAN,24,,,MADRID,MADRID,28035,4,VALDEZARZA,9,MONCLOA-ARAVACA,438836,4480242,40.470610708220725,-3.7215173170272573,,
67711,Aparcamiento para residentes. Aguilar de Campoo,Plazas: 303 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d60868540e41c010VgnVCM2000000c205a0aRCRD,CALLE ANTONIO MACHADO,10,,entrada y salida por calle Antonio Machado,MADRID,MADRID,28035,4,VALDEZARZA,9,MONCLOA-ARAVACA,439012,4479586,40.4647124801429,-3.71937440247255,,
13560,Aparcamiento para residentes. Aguilón,Plazas: 271 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc5215cbed51c010VgnVCM2000000c205a0aRCRD,PASEO CHOPERA,27,,,MADRID,MADRID,28045,3,CHOPERA,2,ARGANZUELA,440537,4471871,40.3953242147226,-3.70066269999703,,
81690,Aparcamiento para residentes. Agustín Lara,"Plazas: 343 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid   La EMT oferta plazas de estacionamiento, en régimen de alquiler de larga duración, con abonos de 1, 3 y 5 años en este aparcamiento. Más información:  http://www.emtmadrid.es/aparcamiento_agustin_lara/index.html",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=856bc2c6e051c010VgnVCM2000000c205a0aRCRD,CALLE MESON DE PAREDES,66,,,MADRID,MADRID,28012,2,EMBAJADORES,1,CENTRO,440247,4473251,40.4077362146594,-3.70421674570288,,
7439839,Aparcamiento para residentes. Alameda (cerrado),Plazas: 171 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5690bf11ca045410VgnVCM1000000b205a0aRCRD,CALLE ALAMEDA,11,,,MADRID,MADRID,28014,3,CORTES,1,CENTRO,441131,4473678,40.411641708999,-3.693836597352357,,
24136,Aparcamiento para residentes. Alcalde Sáinz de Baranda,Plazas: 565 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80af6545f951c010VgnVCM2000000c205a0aRCRD,CALLE ALCALDE SAINZ DE BARANDA,81,,,MADRID,MADRID,28007,3,ESTRELLA,3,RETIRO,443289,4474255,40.4169949224885,-3.66844857705472,,
17790,Aparcamiento para residentes. Alcazaba,Plazas: 334 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0ee6545f951c010VgnVCM2000000c205a0aRCRD,CALLE SINESIO DELGADO,26,,,MADRID,MADRID,28029,4,EL PILAR,8,FUENCARRAL-EL PARDO,440394,4480510,40.4731383570492,-3.70315583932366,,
