PK,NOMBRE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,wikidata_calle,NUM,PLANTA,ORIENTACION,LOCALIDAD,wikidata_localidad,COMUNIDAD AUTONOMA,wikidata_provincia,CODIGO-POSTAL,COD-BARRIO,BARRIO,wikidata_barrio,COD-DISTRITO,DISTRITO,wikidata_distrito,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL
36269,Aparcamiento mixto. Encuentro,Plazas: 104 públicas y 550 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3e12c798651c010VgnVCM2000000c205a0aRCRD,PLAZA ENCUENTRO,,5,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28030,4,Media Legua,https://wikidata.org/entity/Q9031035,14,Moratalaz,https://wikidata.org/entity/Q2076109,444728,4473010,40.4058768185719,--3.65138632197171,91 328 36 80,
13464,Aparcamiento mixto. Felipe II,Plazas: 1175 públicas rotacionales y 615 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor de salida a la plaza de Felipe II Aseo accesible (1&amp;ordf; planta) Plazas para minusválidos residentes:23   Abierto 24 horas   Admite tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=425e15cbed51c010VgnVCM2000000c205a0aRCRD,Calle de Goya,https://wikidata.org/entity/Q28015873,88,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28001,1,Recoletos,https://wikidata.org/entity/Q3814551,4,Salamanca,https://wikidata.org/entity/Q1773521,441502,4475253,40.4242207643363,-3.67342185936768,,
24809,Aparcamiento mixto. Fernández Shaw,Plazas: 245 públicas y 350 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0e6e6545f951c010VgnVCM2000000c205a0aRCRD,CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW,,1,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28007,2,Adelfas,https://wikidata.org/entity/Q3774001,3,Retiro,https://wikidata.org/entity/Q2002296,443245,4472913,40.40489977502076,-3.668850975462272,,
13462,Aparcamiento mixto. Fuencarral,"Plazas: 410 públicas y 111 para residentes  Información sobre accesibilidad:   No tiene escalera adaptada 1 ascensor con salida a la calle Fuencarral, 117 1 aseo accesible en la 1&amp;ordf; planta Plazas para minusválidos residentes: 7   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=987e15cbed51c010VgnVCM2000000c205a0aRCRD,calle de Fuencarral,https://wikidata.org/entity/Q5740840,121,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28010,3,Trafalgar,https://wikidata.org/entity/Q10384027,7,Chamberí,https://wikidata.org/entity/Q1763370,440387,4475680,40.4296270729669,-3.70279096159205,"Centralita EMT 914 068 810 ----                                                      

Aparcamiento      915 911 200",aparcamientos@emtmadrid.es
36270,Aparcamiento mixto. Hernani,"Plazas: 115 públicas y 380 residentes  Información sobre accesibilidad:  No tiene escaleras adptadas Ascensor de salida a la calle Hernai, 68 1 aseo accesible en 1&amp;ordf; planta Plazas para minusválidos residentes. 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0712c798651c010VgnVCM2000000c205a0aRCRD,"Calle de Hernani, Madrid",https://wikidata.org/entity/Q26833571,79,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28020,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,6,Tetuán,https://wikidata.org/entity/Q1773540,440843,4477735,40.44817621258857,-3.6976113125092684,915 545 326,
13459,Aparcamiento mixto. Jacinto Benavente,"Plazas: 285 públicas y 110 para residentes.  Plazas motos: 7.  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor con salida a la calle Jacinto benavente, s/n 1 aseo accesible Plaza para minusválidos residentes: 16  Abierto 24 horas  Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información)",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c48f15cbed51c010VgnVCM2000000c205a0aRCRD,Plaza de Jacinto Benavente,https://wikidata.org/entity/Q6080004,6,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28012,3,Cortes,https://wikidata.org/entity/Q2535637,1,Centro,https://wikidata.org/entity/Q1763376,440329,4473995,40.4144481124785,-3.70332121750772,917 877 292 (grúa municipal),aparcamientos@emtmadrid.es
13479,Aparcamiento mixto. José Castán Tobeñas,Plazas: 226 públicas y 43 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas No disponde ascensor No disponde de aseos accesible Plazas para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35ce15cbed51c010VgnVCM2000000c205a0aRCRD,"Calle del Poeta Joan Maragall, Madrid",https://wikidata.org/entity/Q26810980,57,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28020,3,Castillejos,https://wikidata.org/entity/Q11913212,6,Tetuán,https://wikidata.org/entity/Q1773540,441369,4479549,40.4645483266289,-3.69157198480319,915 707 612,aeuropeos@gmail.com
6143690,Aparcamiento mixto. Marqués de Salamanca,Plazas: 356 públicas y 70 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida a la plaza del Marqués de Salamanca 1 aseo accesible en 2&amp;ordf;  planta Plaza para minusválidos residentes: 14   Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb5b1b2bb5b61310VgnVCM2000000c205a0aRCRD,"Plaza del Marqués de Salamanca, Madrid",https://wikidata.org/entity/Q16620302,,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28006,6,Castellana,https://wikidata.org/entity/Q4781,4,Salamanca,https://wikidata.org/entity/Q1773521,442381,4475761,40.4304997416021,-3.67929374257782,917 877 292 (grúa municipal),aparcamientos@emtmadrid.es
182188,Aparcamiento mixto. Miguel Yuste,Plazas: 168  públicas y 68 para residentes Abierto: 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c15bdc85c01c010VgnVCM2000000c205a0aRCRD,CALLE MIGUEL YUSTE,,64,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28037,1,Simancas,https://wikidata.org/entity/Q10371626,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,447200,4476147,40.43429571608524,-3.622514147448957,,
13465,Aparcamiento mixto. Montalbán,Plazas:   146 Residenciales 130 Rotacionales    Abierto 24 horas    Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0967339ae51c010VgnVCM2000000c205a0aRCRD,"Calle de Montalbán, Madrid",https://wikidata.org/entity/Q29903983,4,OT,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28014,5,Jerónimos,https://wikidata.org/entity/Q10306766,3,Retiro,https://wikidata.org/entity/Q2002296,441381,4474402,40.4181859174944,-3.69095813503217,,
5517342,Aparcamiento mixto. Orense,Plazas: 129 públicas y 663 para residentes  Información sobre accesibilidad:  1 escalera adaptada No dispone de ascensor 1 aseo accesible Plaza para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eee35ed15bb95210VgnVCM2000000c205a0aRCRD,avenida de Brasil,https://wikidata.org/entity/Q27212874,2,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28020,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,6,Tetuán,https://wikidata.org/entity/Q1773540,441141,4478277,40.4530722916738,-3.6941384720253,,aparcamientos@emtmadrid.es
52114,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',Plazas: 107 públicas y 261 para residentes.  Plazas motos: 6.  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor con salida a la Plaza de Vazquez de Mella 1 aseo accesible Plaza para minusválidos residentes: 7    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)  Teléfonos: Residentes - 91 522 50 29          Rotacional -  91 532 19 10,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e499946be351c010VgnVCM2000000c205a0aRCRD,plaza de Pedro Zerolo,https://wikidata.org/entity/Q6080146,1,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28004,4,Justicia,https://wikidata.org/entity/Q1992319,13,Centro,https://wikidata.org/entity/Q1763376,440675,4474698,40.4208058791525,-3.69930167470253,,aparcamientos@emtmadrid.es
33440,Aparcamiento mixto. Plaza de Oriente,Plazas: 242 públicas rotacionales (30 plazas para autobuses) y 511 para residentes Abierto 24 horas Admite Tarjeta BonoRed Este PAR está adherido a la zona de APR  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7db12c798651c010VgnVCM2000000c205a0aRCRD,Oriente square,https://wikidata.org/entity/Q2193218,9,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28013,1,Palacio,https://wikidata.org/entity/Q2136510,1,Centro,https://wikidata.org/entity/Q1763376,439597,4474441,40.41840695632423,-3.7119903936183274,,
11544439,Aparcamiento mixto. Plaza de Santo Domingo,"Plazas Totales: 320 plazas,  Plazas motos: 16.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=58ec252aa267d710VgnVCM1000001d4a900aRCRD,Plaza de Santo Domingo,https://wikidata.org/entity/Q6080106,,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28013,1,Palacio,https://wikidata.org/entity/Q2136510,1,Centro,https://wikidata.org/entity/Q1763376,439915,4474630,40.42013315230386,-3.7082597874437004,,
13466,Aparcamiento mixto. Plaza Mayor,Plazas: 694  279 Residenciales 415 Rotacionales  Abierto 24 horas  Titularidad : Ayuntamiento de Madrid    Gálibo: 1'85 m,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b1981eb5f51c010VgnVCM2000000c205a0aRCRD,Main Square,https://wikidata.org/entity/Q1123493,1,-1,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28012,6,Sol,https://wikidata.org/entity/Q2465181,1,Centro,https://wikidata.org/entity/Q1763376,440027,4474155,40.4158677606471,-3.70689561392158,,
36271,Aparcamiento mixto. Presidente Carmona,Plazas: 127 públicas y 379 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Teléfono: 91 556 62 26,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a412c798651c010VgnVCM2000000c205a0aRCRD,Avenida del General Perón,https://wikidata.org/entity/Q26761632,21,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28020,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,6,Tetuán,https://wikidata.org/entity/Q1773540,441010,4478216,40.45251614668263,-3.6956837947248724,,
13476,Aparcamiento mixto. Recoletos (cerrado),Plazas: 102 públicas y 289 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida al Paseo de Recoletos 1 aseo accesible Plaza para minusválidos residentes: 10   Abierto 24 horas   Titularidad : Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=283f15cbed51c010VgnVCM2000000c205a0aRCRD,Paseo de Recoletos,https://wikidata.org/entity/Q2550870,4,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28001,1,Recoletos,https://wikidata.org/entity/Q3814551,4,Salamanca,https://wikidata.org/entity/Q1773521,441309,4474759,40.421397488495096,-3.691841269615146,,aparcamientos@emtmadrid.es
24193,Aparcamiento mixto. República Dominicana,Plazas: 209 públicas y 892 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aabe6545f951c010VgnVCM2000000c205a0aRCRD,PLAZA REPUBLICA DOMINICANA,,6,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28016,5,Nueva España,https://wikidata.org/entity/Q10338128,5,Chamartín,https://wikidata.org/entity/Q1766348,442641,4478908,40.4588693818589,-3.67651579058803,,
81828,Aparcamiento mixto. Reyes Magos,Plazas: 356 públicas y 345 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0dfec2c6e051c010VgnVCM2000000c205a0aRCRD,PLAZA REYES MAGOS,,,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28007,6,Niño Jesús,https://wikidata.org/entity/Q3773746,3,Retiro,https://wikidata.org/entity/Q2002296,442614,4473350,40.408797321706984,-3.6763215894089827,,
167692,Aparcamiento mixto. San Cayetano,Plazas: 222 públicas y 261 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a284ff632081c010VgnVCM1000000b205a0aRCRD,PLAZA SAN CAYETANO,,1,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28028,4,La Guindalera,https://wikidata.org/entity/Q3814559,4,Salamanca,https://wikidata.org/entity/Q1773521,443161,4476191,40.4344244682971,-3.67012877493573,,
13515,Aparcamiento mixto. San Germán II (antes General Yagüe),Plazas: 419 públicas y 713 residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee9e15cbed51c010VgnVCM2000000c205a0aRCRD,"Calle de Orense, Madrid",https://wikidata.org/entity/Q26761687,48,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28020,3,Castillejos,https://wikidata.org/entity/Q11913212,6,Tetuán,https://wikidata.org/entity/Q1773540,441212,4478646,40.4564090502234,-3.69333344796644,,
19053,Aparcamiento mixto. Sánchez Bustillo,Plazas: 131 públicas y 408 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27912c798651c010VgnVCM2000000c205a0aRCRD,CALLE SANCHEZ BUSTILLO,,,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28012,2,Embajadores,https://wikidata.org/entity/Q2449844,1,Centro,https://wikidata.org/entity/Q1763376,441130,4473369,40.40885884341386,-3.693821482712085,,
7416748,Aparcamiento mixto. Serrano I,Plazas: 307 públicas y 833 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd61f94ae1d15410VgnVCM2000000c205a0aRCRD,Serrano Street,https://wikidata.org/entity/Q5740879,84,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28006,6,Castellana,https://wikidata.org/entity/Q4781,4,Salamanca,https://wikidata.org/entity/Q1773521,441804,4476037,40.4329452991722,-3.68611338542774,,
7417028,Aparcamiento mixto. Serrano II,Plazas: 379 públicas y 804 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc096f1c35d15410VgnVCM2000000c205a0aRCRD,Serrano Street,https://wikidata.org/entity/Q5740879,44,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28001,1,Recoletos,https://wikidata.org/entity/Q3814551,4,Salamanca,https://wikidata.org/entity/Q1773521,441599,4475750,40.4303442290635,-3.68850808858792,,
7417052,Aparcamiento mixto. Serrano III,Plazas: 261 públicas y 725 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a1c6f1c35d15410VgnVCM2000000c205a0aRCRD,Serrano Street,https://wikidata.org/entity/Q5740879,2,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28001,1,Recoletos,https://wikidata.org/entity/Q3814551,4,Salamanca,https://wikidata.org/entity/Q1773521,441497,4475094,40.4244268291578,-3.68965177313431,,
13460,Aparcamiento mixto. Sevilla,Plazas: 649 públicas rotacionales y 74 para residentes Abierto 24 horas Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9dd67339ae51c010VgnVCM2000000c205a0aRCRD,Alcalá Street,https://wikidata.org/entity/Q2424746,17,,,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28014,6,Sol,https://wikidata.org/entity/Q2465181,1,Centro,https://wikidata.org/entity/Q1763376,440740,4474574,40.41780383567921,-3.6998082261071747,915 219 281,
